product_id,product_name,category,subcategory,brand,unit_cost,unit_price
P001,Nova Laptop 1,Electronics,Laptop,Nova,115486.47,176253.3
P002,LankaTech Laptop 2,Electronics,Laptop,LankaTech,69661.09,109915.02
P003,Vision Laptop 3,Electronics,Laptop,Vision,119949.33,174229.61
P004,Nova Smartphone 1,Electronics,Smartphone,Nova,33437.06,39057.97
P005,LankaTech Smartphone 2,Electronics,Smartphone,LankaTech,91117.86,124077.5
P006,Vision Smartphone 3,Electronics,Smartphone,Vision,78703.87,122953.76
P007,Nova Tablet 1,Electronics,Tablet,Nova,23006.46,32517.29
P008,LankaTech Tablet 2,Electronics,Tablet,LankaTech,76721.99,105207.07
P009,Vision Tablet 3,Electronics,Tablet,Vision,12312.23,16086.94
P010,Nova Monitor 1,Electronics,Monitor,Nova,40997.04,59509.67
P011,LankaTech Monitor 2,Electronics,Monitor,LankaTech,103141.37,133919.96
P012,Vision Monitor 3,Electronics,Monitor,Vision,83700.33,107111.15
P013,Nova Mouse 1,Accessories,Mouse,Nova,113505.43,172086.12
P014,LankaTech Mouse 2,Accessories,Mouse,LankaTech,66686.45,90338.24
P015,Vision Mouse 3,Accessories,Mouse,Vision,38770.28,50225.86
P016,Nova Keyboard 1,Accessories,Keyboard,Nova,116466.89,155119.78
P017,LankaTech Keyboard 2,Accessories,Keyboard,LankaTech,62479.66,99633.42
P018,Vision Keyboard 3,Accessories,Keyboard,Vision,79432.76,110742.54
P019,Nova Headset 1,Accessories,Headset,Nova,50469.84,62300.58
P020,LankaTech Headset 2,Accessories,Headset,LankaTech,44370.85,66130.29
P021,Vision Headset 3,Accessories,Headset,Vision,75610.94,112811.2
P022,Nova Webcam 1,Accessories,Webcam,Nova,25621.65,35797.26
P023,LankaTech Webcam 2,Accessories,Webcam,LankaTech,111429.22,150112.12
P024,Vision Webcam 3,Accessories,Webcam,Vision,84242.63,101482.19
P025,Nova Lamp 1,Home,Lamp,Nova,116817.9,166347.78
P026,LankaTech Lamp 2,Home,Lamp,LankaTech,29856.75,36463.16
P027,Vision Lamp 3,Home,Lamp,Vision,66774.42,93384.9
P028,Nova Speaker 1,Home,Speaker,Nova,12545.29,20028.75
P029,LankaTech Speaker 2,Home,Speaker,LankaTech,109682.19,148910.2
P030,Vision Speaker 3,Home,Speaker,Vision,15419.74,23506.85
P031,Nova Fan 1,Home,Fan,Nova,60557.5,89169.19
P032,LankaTech Fan 2,Home,Fan,LankaTech,61801.33,78675.64
P033,Vision Fan 3,Home,Fan,Vision,100414.79,159770.99
P034,Nova Router 1,Home,Router,Nova,30382.11,42476.29
P035,LankaTech Router 2,Home,Router,LankaTech,46954.94,73477.0
P036,Vision Router 3,Home,Router,Vision,61726.55,95410.53
P037,Nova Printer 1,Office,Printer,Nova,103887.19,132384.62
P038,LankaTech Printer 2,Office,Printer,LankaTech,95115.73,127143.49
P039,Vision Printer 3,Office,Printer,Vision,112208.43,154677.3
P040,Nova Chair 1,Office,Chair,Nova,98735.11,126112.14
P041,LankaTech Chair 2,Office,Chair,LankaTech,36878.87,52151.22
P042,Vision Chair 3,Office,Chair,Vision,119869.93,164262.34
P043,Nova Desk 1,Office,Desk,Nova,19108.56,26606.02
P044,LankaTech Desk 2,Office,Desk,LankaTech,42397.19,59286.65
P045,Vision Desk 3,Office,Desk,Vision,65896.46,89283.45
P046,Nova Calculator 1,Office,Calculator,Nova,39630.62,48939.6
P047,LankaTech Calculator 2,Office,Calculator,LankaTech,84153.56,118430.06
P048,Vision Calculator 3,Office,Calculator,Vision,29177.15,43736.4
