order_line_id,order_id,order_date,customer_id,product_id,location_id,payment_id,quantity,discount_amount
OL0001,O0001,2026-08-02,C041,P048,L008,PM004,4,750
OL0002,O0001,2026-08-26,C084,P010,L008,PM001,2,500
OL0003,O0002,2026-08-31,C076,P022,L002,PM004,1,500
OL0004,O0002,2026-08-30,C059,P001,L003,PM004,2,0
OL0005,O0003,2026-08-16,C034,P022,L007,PM001,3,1000
OL0006,O0003,2026-08-22,C069,P025,L006,PM004,5,0
OL0007,O0004,2026-08-20,C009,P016,L005,PM002,1,250
OL0008,O0004,2026-08-04,C098,P041,L002,PM004,2,750
OL0009,O0005,2026-08-10,C004,P003,L006,PM001,3,0
OL0010,O0005,2026-08-12,C056,P010,L004,PM005,4,500
OL0011,O0006,2026-08-22,C024,P011,L003,PM001,5,1000
OL0012,O0006,2026-08-13,C080,P044,L004,PM004,5,0
OL0013,O0007,2026-08-08,C060,P041,L005,PM004,3,750
OL0014,O0007,2026-08-01,C060,P019,L003,PM001,4,0
OL0015,O0008,2026-08-19,C039,P041,L007,PM003,4,1000
OL0016,O0008,2026-08-10,C026,P025,L008,PM001,2,250
OL0017,O0009,2026-08-19,C046,P037,L005,PM003,1,1000
OL0018,O0009,2026-08-22,C051,P018,L001,PM005,1,500
OL0019,O0010,2026-08-24,C064,P019,L004,PM005,3,0
OL0020,O0010,2026-08-21,C025,P040,L005,PM002,1,750
OL0021,O0011,2026-08-21,C006,P020,L008,PM001,5,0
OL0022,O0011,2026-08-24,C017,P006,L005,PM003,4,0
OL0023,O0012,2026-08-07,C017,P035,L006,PM005,5,0
OL0024,O0012,2026-08-27,C022,P017,L008,PM003,3,1000
OL0025,O0013,2026-08-04,C060,P005,L003,PM002,4,1000
OL0026,O0013,2026-08-26,C072,P024,L002,PM004,1,0
OL0027,O0014,2026-08-18,C016,P030,L006,PM003,5,250
OL0028,O0014,2026-08-27,C082,P024,L002,PM002,4,0
OL0029,O0015,2026-08-20,C072,P021,L004,PM001,4,750
OL0030,O0015,2026-08-10,C084,P027,L002,PM002,1,0
OL0031,O0016,2026-08-10,C064,P008,L002,PM002,5,0
OL0032,O0016,2026-08-13,C059,P024,L007,PM005,2,250
OL0033,O0017,2026-08-21,C013,P032,L007,PM003,1,750
OL0034,O0017,2026-08-12,C028,P029,L008,PM002,3,0
OL0035,O0018,2026-08-22,C048,P035,L006,PM001,4,0
OL0036,O0018,2026-08-07,C016,P030,L002,PM002,5,0
OL0037,O0019,2026-08-02,C043,P016,L003,PM005,2,0
OL0038,O0019,2026-08-27,C098,P036,L004,PM005,2,1000
OL0039,O0020,2026-08-28,C030,P022,L003,PM005,1,0
OL0040,O0020,2026-08-28,C019,P009,L005,PM002,1,750
OL0041,O0021,2026-08-28,C004,P009,L001,PM003,2,500
OL0042,O0021,2026-08-11,C003,P012,L005,PM001,2,750
OL0043,O0022,2026-08-14,C068,P008,L002,PM004,4,1000
